biker_id,tour_id
EB56731925,ST29508261 QT97764698 RU29072432 YU5398943 WQ1611185 QQ39465813 RT15873572 RQ57645470 XY6333395 RV10494844 XP0349173 RX30173169
CJ58453070,SS21054057 RW03254873 SQ49756569 RP1681061
BA30441254,SX74363313 RW43813328 QQ17746020 SS19071521 RS77296815 WR7714452 RP20205490 QS01997573 SV98731704 QR98449638 SW92116629 US0021453 QP4607440 RV70146105 VT442250 RQ08986641
CJ30631258,QQ14350408 RW40052708 RX06565970 SR63097785 RQ95745382 TY4693063
BH76705938,SS55058483 WX8806703 SY81207518 TP67173724 RT63233266 WR1486079
EB22483286,QY40144951 RX92429018 TQ00467276 QY3057331 QR70821753 SX03531290 QQ74322982 QS63299595 QV43733273 TQ59151915 QU8205194 SW29527390 UX0944656 RW92119811 SW84929022
EJ1840802,QX01025265 QR11578449 XY1266900 TP72954907 TR80897548 RU927492
BH6349030,TQ33637044 TR24104772 WY1187416 QQ6205891 SU75536012 RX24762134
BJ72874413,YU5398943 QV00413013 SY0341495 RV3253434 SR76213471 RW12351162
DC81890361,QR03574711 QY39373766 SP06554485 YT512525 SU72612838 TP34045801
DF08561523,TX0878599 QV28763650 QW31351853 QY42642254 RP13037725 TY6131340
DF49860217,SP59491867 QQ80929461 SR18113289 SS68128234 SV32129790 QQ1299360
EC69957924,QQ79651886 SV97332645 QP85255811 QU84032720 RW21339456 SP76674861
CB77461994,YU2519340 QX44176380 RP73609284 QR03717384 RQ49464820 RP07279414
CJ21156307,RP30801280 QQ67497006 SS77452001 VS3397465 QS77112530 QW81691537 UW2112673 SU27773293 SU08322706 RP51799233 WY7378040
CG75088061,TR42816413 RW62356638 QV30022509 SR89683998 SX64843980 SW90866767
BG96780091,RT98491194 RX15362044 RP73609284 UQ6796945 RQ49464820 RP07279414
DB10482182,RV43833505 YP7302600 RQ30616732 VS3659090 QV92359541 YW217712
BF44786140,SW51924386 YU4819298 QP03065332 QS42131627 QR83922964 QS30529419
DD87377708,SQ28414020 RR03480307 QU9721752 QS19886393 QV744769 SW8442814
CH87637778,YQ0169576 YU2519340 QP76364848 SQ03100779 QT51401793 TR44463632 RQ49464820 QR03717384 TP80944038 QR69035551 RP07279414
IA365330,UU9618821 RX06565970 RQ8221722 SS02719635 RT31677639 UQ4153585
BC21391751,UQ0687100 SV03111897 YP8427583 RT89333364 ST06437144 QU41614804
BE7852768,SV43346333 WT7845900 QS36550405 VR2003251 WV6157199 QU88010656 QX42491212 RX65762984 QQ28274822 SW73489407 SR89683998 SQ99229320
EB70453600,RY9696797 UX0504008 TP13950788 SX98095594 QT06383414 RT63159061 XT684334 UQ1362023 QY54528574 SP71822251 QV90154685
CI55659739,RU29072432 YU5398943 QV11840162 SU65166403 QU32377761 SY53952340 QS90707377 SU51855555 SV32072502 QW36093461 SS14895954 QU99219405
DF04868122,YU5398943 RU29072432 QS61307272 WW1676713 RV43833505 YP7302600 TP45444993 XY8403969 RT25916002 SY76993681 TP3202920 RT01458775
CI15174275,YU2519340 RP73609284 RV8233790 QR69035551 SP48578499 RP07279414
DD36162241,RW25806125 QU10397833 RP44297478 RQ41807420 TR18102720 RW94180407
DA38024163,RY12359758 RT57973567 QV23900702 TP58829330 QV76265172 RY42609119 QY66347593 SP00227659 WR149297 RW702695 RY55430444
GH0504249,QV35880727 QW69873692 QT1146193 VR9780337 QY48173913 RT12119621
BI82344631,SQ74718152 VR7290679 QU65011423 VV357203 SY81222120 SW11746032 RT60315917 RX59386475 TS5185357 ST4812468 SS18084807 SQ65830762
GI7595500,RW61684874 RS01324542 VR2943286 QR32655838 QQ70318717 TR7450245
CJ93544760,QX77217637 RY74043284 RS54817832 RR44851506 SS6832383 QX34242831
BF24520597,QR05670273 RS68083210 TR03571618 RS0117918 QR32399528 TY512724
DC48992473,UP5206311 RS24380948 XV9878857 RR9397491 RQ03350077 SY66531125
DD08369328,YY7119679 YU5398943 SY81414613 ST10736122 RV13114347 QQ64494804
BI72064755,QY55290741 RW41182317 RV71536488 QX6216354 ST06006327
GA9504174,QP76364848 SW76957253 QR7757681 UQ7558243 QR69035551 QY02753965
BI15513076,QR31053829 QY17405339 WW1048344 RQ44335101 RQ58886392 SW14846142
